match_id,match_date,week,season,tournament_id,home_team,away_team,lambda_mkt_h,lambda_mkt_a,sse
12477123,2024-08-03,1,24/25,57,forfar-athletic,clyde-fc,1.2872971738866228,1.4578560583000704,0.0014999826945882625
12477126,2024-08-03,1,24/25,57,elgin-city,east-fife,1.0361663783474286,1.539718961825889,0.0014766479691874909
12477128,2024-08-03,1,24/25,56,stenhousemuir,arbroath,1.3916332378525667,1.4451677241144665,0.0005694381007548974
12477129,2024-08-03,1,24/25,57,edinburgh-city-fc,stirling-albion,0.9297201256602243,2.2093512417674908,8.62936292892932e-5
12477131,2024-08-03,1,24/25,56,cove-rangers,annan-athletic,1.7451167148276092,1.4960005202324536,0.0009572469776068318
12477132,2024-08-03,1,24/25,56,inverness-caledonian-thistle,dumbarton,1.7787601091880434,1.1435774699494508,0.0005714615093508118
12477133,2024-08-03,1,24/25,57,bonnyrigg-rose,peterhead,1.1655681077995494,1.2164538985063627,1.469490230311163e-9
12477134,2024-08-03,1,24/25,56,montrose,kelty-hearts-fc,1.6848978738072342,1.2124265081604384,0.0007186454930893116
12477135,2024-08-03,1,24/25,56,alloa-athletic,queen-of-the-south,1.6316747184072877,1.2950832312894116,0.0013266419533673813
12476632,2024-08-10,2,24/25,57,east-fife,edinburgh-city-fc,2.545908345042691,0.6644372375740915,5.921853508137059e-5
12476633,2024-08-10,2,24/25,57,stirling-albion,elgin-city,1.7054692380682608,1.2179965324856077,0.00030018655011571874
12476635,2024-08-10,2,24/25,57,peterhead,forfar-athletic,1.3287385971866907,0.9334041378318271,5.386126842939664e-10
12476636,2024-08-10,2,24/25,57,clyde-fc,stranraer,1.7542974045873834,1.0508975589181242,4.1172783079648324e-5
12476794,2024-08-10,2,24/25,56,queen-of-the-south,cove-rangers,1.4742242421224623,0.9565284227174401,5.970015462182723e-10
12476797,2024-08-10,2,24/25,56,kelty-hearts-fc,stenhousemuir,1.5263291270108934,1.3019078936267978,0.0010921655094151225
12476798,2024-08-10,2,24/25,56,dumbarton,alloa-athletic,1.405470327953386,1.5148654664279577,0.000527415573388905
12476799,2024-08-10,2,24/25,56,arbroath,montrose,1.5131741718397729,1.2887963438315577,6.969920275984518e-10
12476800,2024-08-10,2,24/25,56,annan-athletic,inverness-caledonian-thistle,1.354212238161302,1.2847617279791512,8.39761591647209e-10
12476623,2024-08-17,3,24/25,57,peterhead,stranraer,1.7252535926124024,0.9656697104721221,0.0005481970687922589
12476629,2024-08-17,3,24/25,57,east-fife,forfar-athletic,1.4791398847840473,0.8599575988575874,6.843493408114467e-9
12476631,2024-08-17,3,24/25,57,edinburgh-city-fc,bonnyrigg-rose,1.7203777190391518,1.00913109706235,7.704060698802214e-5
12476634,2024-08-17,3,24/25,57,clyde-fc,stirling-albion,1.7351778855657296,0.9187179305165207,0.0004381026512132693
12476790,2024-08-17,3,24/25,56,alloa-athletic,stenhousemuir,1.7189847316166635,1.1882606689356383,0.0003346338332014213
12476792,2024-08-17,3,24/25,56,queen-of-the-south,annan-athletic,1.3754604754852173,1.3546502806437284,0.001202482489797341
12476795,2024-08-17,3,24/25,56,cove-rangers,dumbarton,1.510839474438953,1.4383770598481185,0.00042912993256079377
12476796,2024-08-17,3,24/25,56,arbroath,kelty-hearts-fc,1.6033563305724683,1.134583997490019,0.0002662258209299851
12476621,2024-08-24,4,24/25,57,stranraer,elgin-city,1.4895083379645637,1.362848325341071,0.0006646093041048491
12476622,2024-08-24,4,24/25,57,stirling-albion,east-fife,1.289936040348095,1.390168796884733,0.0003512798719194679
12476625,2024-08-24,4,24/25,57,bonnyrigg-rose,clyde-fc,1.2427917401856934,1.5637269554176205,0.0005493780139522775
12476627,2024-08-24,4,24/25,57,forfar-athletic,edinburgh-city-fc,2.1232859060941918,0.904879589872108,6.935898067453014e-5
12476786,2024-08-24,4,24/25,56,stenhousemuir,cove-rangers,1.467487441908231,1.3544921642689283,0.00041802088528587885
12476787,2024-08-24,4,24/25,56,annan-athletic,alloa-athletic,1.4791062846584893,1.4533412068262073,0.0011488795561670094
12476788,2024-08-24,4,24/25,56,kelty-hearts-fc,inverness-caledonian-thistle,1.547285885643924,1.3057506162580228,0.00030663294382242396
12476791,2024-08-24,4,24/25,56,dumbarton,arbroath,1.581371351681757,1.078245477785521,2.657864399564004e-9
12476617,2024-08-31,5,24/25,57,forfar-athletic,elgin-city,1.2588585281465523,1.3539319818871511,0.00014078071677836056
12476619,2024-08-31,5,24/25,57,east-fife,clyde-fc,1.4260561638869969,1.1829235515897765,0.0008790793014306446
12476620,2024-08-31,5,24/25,57,edinburgh-city-fc,peterhead,0.9194865623535654,2.004453818376831,7.432247854846597e-5
12476626,2024-08-31,5,24/25,57,bonnyrigg-rose,stranraer,1.5793372576477636,1.1203722227338258,0.00023379963773942193
12476779,2024-08-31,5,24/25,56,stenhousemuir,annan-athletic,1.2941816304960503,1.1689403396064446,5.702873355645763e-10
12476781,2024-08-31,5,24/25,56,cove-rangers,montrose,1.2731692571723539,1.2420615400900883,5.171263393461974e-10
12476782,2024-08-31,5,24/25,56,arbroath,alloa-athletic,1.491122887239888,1.5885280726911788,0.00046463902098706406
12476784,2024-08-31,5,24/25,56,dumbarton,kelty-hearts-fc,1.5721587111869195,1.1604354438660092,2.6986706234794095e-10
12476785,2024-08-31,5,24/25,56,inverness-caledonian-thistle,queen-of-the-south,1.4338016775744766,0.8828267964139278,1.8774493059915678e-8
12476611,2024-09-14,7,24/25,57,stranraer,east-fife,1.0322514263000309,1.5748311281339669,0.0003356127415319634
12476614,2024-09-14,7,24/25,57,peterhead,stirling-albion,1.4476690282072098,0.6866781919924996,9.063731159400197e-9
12476615,2024-09-14,7,24/25,57,elgin-city,bonnyrigg-rose,1.5083167287584724,1.0406245614055132,7.572481321378845e-5
12476616,2024-09-14,7,24/25,57,clyde-fc,edinburgh-city-fc,2.5021231807379123,0.7490448537699341,2.5227072198224718e-5
12476776,2024-09-14,7,24/25,56,montrose,stenhousemuir,1.4764295530915563,1.2658118151422626,0.0012509619365660427
12476777,2024-09-14,7,24/25,56,queen-of-the-south,arbroath,1.3947442700277857,1.2069370969033748,0.0002753323241525435
12476778,2024-09-14,7,24/25,56,kelty-hearts-fc,cove-rangers,1.4069850989451858,1.138135678081937,3.6121258514937096e-10
12476780,2024-09-14,7,24/25,56,alloa-athletic,inverness-caledonian-thistle,1.1934041422225676,1.1040325840217868,0.001551797799454477
12476603,2024-09-21,8,24/25,57,forfar-athletic,stranraer,1.5066151061759245,1.1489188323389514,0.001135808790223404
12476606,2024-09-21,8,24/25,57,stirling-albion,bonnyrigg-rose,1.2199132777963095,1.053991902972525,1.3549278134990447e-9
12476607,2024-09-21,8,24/25,57,east-fife,peterhead,1.4618883796682953,1.135067649531414,5.6560363569995914e-5
12476613,2024-09-21,8,24/25,57,clyde-fc,elgin-city,1.5859024577912906,1.1360026624454587,0.0003026502638946786
12476771,2024-09-21,8,24/25,56,dumbarton,montrose,1.6465733920990036,1.0388429808960522,3.4223543976281618e-9
12476772,2024-09-21,8,24/25,56,inverness-caledonian-thistle,cove-rangers,1.7435765827750052,1.0678414712931275,0.0011734133416592223
12476773,2024-09-21,8,24/25,56,arbroath,annan-athletic,1.66594957785437,1.2885580211665009,0.0005690814954263325
12476774,2024-09-21,8,24/25,56,stenhousemuir,queen-of-the-south,1.2671769059461593,1.0574798233889842,5.024897994760586e-9
12476775,2024-09-21,8,24/25,56,alloa-athletic,kelty-hearts-fc,1.6804766608619128,1.1525469057798623,0.0009373949903400666
12476604,2024-09-28,9,24/25,57,peterhead,clyde-fc,1.5485085173607933,1.0324504672989303,0.0013486181343870497
12476609,2024-09-28,9,24/25,57,stranraer,stirling-albion,1.4102168383206917,1.177354171502498,0.0005213472589603298
12476610,2024-09-28,9,24/25,57,elgin-city,edinburgh-city-fc,1.8878150320409608,1.0210566862809356,0.0002217104567708527
12476766,2024-09-28,9,24/25,56,montrose,alloa-athletic,1.2643032424057432,1.2808908885957988,0.001295388468155358
12476767,2024-09-28,9,24/25,56,queen-of-the-south,dumbarton,1.5197333677560991,1.2733546052254494,0.0020109925614963256
12476768,2024-09-28,9,24/25,56,cove-rangers,arbroath,1.42690381450349,1.4089889009852499,0.000895329468569228
12476769,2024-09-28,9,24/25,56,kelty-hearts-fc,annan-athletic,1.6841415391249508,1.2017135951309736,0.002883816574736265
12476770,2024-09-28,9,24/25,56,inverness-caledonian-thistle,stenhousemuir,1.8701734803085506,0.9163186392512211,0.001069352174976752
12476597,2024-10-05,10,24/25,57,edinburgh-city-fc,stranraer,1.2376262455815417,1.498610117855531,6.774371500670747e-5
12476598,2024-10-05,10,24/25,57,stirling-albion,forfar-athletic,1.2106476097377654,1.2304942298622907,0.001455910588331069
12476599,2024-10-05,10,24/25,57,peterhead,elgin-city,1.5937394640537175,1.0010232059229867,0.00031811020336896086
12476600,2024-10-05,10,24/25,57,east-fife,bonnyrigg-rose,1.7260381774565792,0.9842440824296893,1.5674709180135707e-6
